lg	inLg	name
szl	ne	nepalskŏ
szl	nl	holynderskŏ
szl	nn	norweskŏ nynorsk
szl	no	norweskŏ
szl	nog	nogajskŏ
szl	oc	ôksytańskŏ
szl	os	ôsetyjskŏ
szl	pa	pandżabskŏ
szl	pl	polskŏ
szl	pt	portugalskŏ
szl	rm	rōmanszskŏ
szl	rn	rundi
szl	ro	rumuńskŏ
szl	ru	ruskŏ
szl	rup	arōmańskŏ
szl	sa	sanskryt
szl	sah	jakuckŏ
szl	sc	sardyńskŏ
szl	sco	szkockŏ
szl	se	sami pōłnocnŏ
szl	sh	serbochorwackŏ
szl	si	syngaleskŏ
szl	sk	słowackŏ
szl	sl	słowyńskŏ
szl	sma	sami połedniowŏ
szl	smj	sami lule
szl	sq	albańskŏ
szl	sr	serbskŏ
szl	sv	szwedzkŏ
szl	sw	suahili
szl	szl	ślōnskŏ
szl	ta	tamilskŏ
szl	te	telugu
szl	tet	tetum
szl	tg	tadżyckŏ
szl	th	tajlandzkŏ
szl	tk	turkmyńskŏ
szl	tl	tagalog
szl	tr	tureckŏ
szl	tt	tatarskŏ
szl	tyv	tuwińskŏ
szl	udm	udmurckŏ
szl	uk	ukrajińskŏ
szl	ur	urdu
szl	uz	uzbeckŏ
szl	vi	wietnamskŏ
szl	xh	xosa
szl	zh	chińskŏ
szl	zu	zulu



