lg	inLg	name
en	ajt	Judeo-Tunisian Arabic
en	aju	Judeo-Moroccan Arabic
en	ajw	Ajawa
en	ajz	Amri Karbi
en	ak	Akan
en	akb	Batak Angkola
en	akc	Mpur
en	akd	Ukpet-Ehom
en	ake	Akawaio
en	akf	Akpa
en	akg	Anakalangu
en	akh	Angal Heneng
en	aki	Aiome
en	akj	Aka-Jeru
en	akk	Akkadian
en	akl	Aklanon
en	akm	Aka-Bo
en	ako	Akurio
en	akp	Siwu
en	akq	Ak
en	akr	Araki
en	aks	Akaselem
en	akt	Akolet
en	aku	Akum
en	akv	Akhvakh
en	akw	Akwa
en	akx	Aka-Kede
en	aky	Aka-Kol
en	akz	Alabama
en	ala	Alago
en	alc	Qawasqar
en	ald	Alladian
en	ale	Aleut
en	alf	Alege
en	alh	Alawa
en	ali	Amaimon
en	alj	Alangan
en	alk	Alak
en	all	Allar
en	alm	Amblong
en	aln	Gheg Albanian
en	alo	Larike-Wakasihu
en	alp	Alune
en	alq	Algonquin
en	alr	Alutor
en	als	Tosk Albanian
en	alt	Southern Altai
en	alu	'Are'are
en	alw	Alaba-K’abeena
en	alx	Amol
en	aly	Alyawarr
en	alz	Alur
en	ama	Amanayé
en	amb	Ambo
en	amc	Amahuaca
en	ame	Yanesha'
en	amf	Hamer-Banna
en	amg	Amurdak
en	am	Amharic
en	ami	Amis
en	amj	Amdang
en	amk	Ambai
en	aml	War-Jaintia
en	amm	Ama (Papua New Guinea)
en	amn	Amanab
en	amo	Amo
en	amp	Alamblak
en	amq	Amahai
en	amr	Amarakaeri
en	ams	Southern Amami-Oshima
en	amt	Amto
en	amu	Guerrero Amuzgo
en	amv	Ambelau
en	amw	Western Neo-Aramaic
en	amx	Anmatyerre
en	amy	Ami
en	amz	Atampaya
en	ana	Andaqui
en	anb	Andoa
en	anc	Ngas
en	and	Ansus
en	ane	Xârâcùù
en	anf	Animere
en	ang	Old English (ca. 450-1100)
en	anh	Nend
en	ani	Andi
en	anj	Anor
en	ank	Goemai
en	anl	Anu-Hkongso Chin
en	anm	Anal
en	ann	Obolo
en	ano	Andoque
en	anp	Angika
en	anq	Jarawa (India)
en	anr	Andh
en	ans	Anserma
en	ant	Antakarinya
en	anu	Anuak
en	anv	Denya
en	anw	Anaang
en	anx	Andra-Hus
en	any	Anyin
en	anz	Anem
en	aoa	Angolar
en	aob	Abom
en	aoc	Pemon
en	aod	Andarum
en	aoe	Angal Enen
en	aof	Bragat
en	aog	Angoram
en	aoh	Arma
en	aoi	Anindilyakwa
en	aoj	Mufian
en	aok	Arhö
en	aol	Alor
en	aom	Ömie
en	aon	Bumbita Arapesh
en	aor	Aore
en	aos	Taikat
en	aot	Atong (India)
en	aou	A'ou
en	aox	Atorada
en	aoz	Uab Meto
en	apb	Sa'a
en	apc	North Levantine Arabic
en	apd	Sudanese Arabic
en	ape	Bukiyip
en	apf	Pahanan Agta
en	apg	Ampanang
en	aph	Athpariya
en	api	Apiaká
en	apj	Jicarilla Apache
en	apk	Kiowa Apache
en	apl	Lipan Apache
en	apm	Mescalero-Chiricahua Apache
en	apn	Apinayé
en	apo	Ambul
en	app	Apma
en	apq	A-Pucikwar
en	apr	Arop-Lokep
en	aps	Arop-Sissano
en	apt	Apatani
en	apu	Apurinã
en	apv	Alapmunte
en	apw	Western Apache
en	apx	Aputai
en	apy	Apalaí
en	apz	Safeyoka
en	aqc	Archi
en	aqd	Ampari Dogon
en	aqg	Arigidi
en	aqm	Atohwaim
en	aqn	Northern Alta
en	aqp	Atakapa
en	aqr	Arhâ
en	aqt	Angaité
en	aqz	Akuntsu
en	ar	Arabic
en	arb	Standard Arabic
en	arc	Official Aramaic (700-300 BCE)
en	ard	Arabana
en	are	Western Arrarnta
en	an	Aragonese
en	arh	Arhuaco
en	ari	Arikara
en	arj	Arapaso
en	ark	Arikapú
en	arl	Arabela
en	arn	Mapudungun
en	aro	Araona
en	arp	Arapaho
en	arq	Algerian Arabic
en	arr	Karo (Brazil)
en	ars	Najdi Arabic
en	aru	Aruá (Amazonas State)
en	arv	Arbore
en	arw	Arawak
en	arx	Aruá (Rodonia State)
en	ary	Moroccan Arabic
en	arz	Egyptian Arabic
en	asa	Asu (Tanzania)
en	asb	Assiniboine
en	asc	Casuarina Coast Asmat
en	asd	Asas
en	ase	American Sign Language
en	asf	Australian Sign Language
en	asg	Cishingini
en	ash	Abishira
en	asi	Buruwai
en	asj	Sari
en	ask	Ashkun
en	asl	Asilulu
en	as	Assamese
en	asn	Xingú Asuriní
en	aso	Dano
en	asp	Algerian Sign Language
en	asq	Austrian Sign Language
en	asr	Asuri
en	ass	Ipulo
en	ast	Asturian
en	asu	Tocantins Asurini
en	asv	Asoa
en	asw	Australian Aborigines Sign Language
en	asx	Muratayak
en	asy	Yaosakor Asmat
en	asz	As
en	ata	Pele-Ata
en	atb	Zaiwa
en	atc	Atsahuaca
en	atd	Ata Manobo
en	ate	Atemble
en	atg	Ivbie North-Okpela-Arhe
en	ati	Attié
en	atj	Atikamekw
en	atk	Ati
en	atl	Mt. Iraya Agta
en	atm	Ata
en	atn	Ashtiani
en	ato	Atong (Cameroon)
en	atp	Pudtol Atta
en	atq	Aralle-Tabulahan
en	atr	Waimiri-Atroari
en	ats	Gros Ventre
en	att	Pamplona Atta
en	atu	Reel
en	atv	Northern Altai
en	atw	Atsugewi
en	atx	Arutani
en	aty	Aneityum
en	atz	Arta
en	aua	Asumboa
en	aub	Alugu
en	auc	Waorani
en	aud	Anuta
en	aug	Aguna
en	auh	Aushi
en	aui	Anuki
en	auj	Awjilah
en	auk	Heyo
en	aul	Aulua
en	aum	Asu (Nigeria)
en	aun	Molmo One
en	auo	Auyokawa
en	aup	Makayam
en	auq	Anus
en	aur	Aruek
en	aut	Austral
en	auu	Auye
en	auw	Awyi
en	aux	Aurá
en	auy	Awiyaana
en	auz	Uzbeki Arabic
en	av	Avaric
en	avb	Avau
en	avd	Alviri-Vidari
en	ae	Avestan
en	avi	Avikam
en	avk	Kotava
en	avl	Eastern Egyptian Bedawi Arabic
en	avm	Angkamuthi
en	avn	Avatime
en	avo	Agavotaguerra
en	avs	Aushiri
en	avt	Au
en	avu	Avokaya
en	avv	Avá-Canoeiro
en	awa	Awadhi
en	awb	Awa (Papua New Guinea)
en	awc	Cicipu
en	awe	Awetí
en	awg	Anguthimri
en	awh	Awbono
en	awi	Aekyom
en	awk	Awabakal
en	awm	Arawum
en	awn	Awngi
en	awo	Awak
en	awr	Awera
en	aws	South Awyu
en	awt	Araweté
en	awu	Central Awyu
en	awv	Jair Awyu
en	aww	Awun
en	awx	Awara
en	awy	Edera Awyu
en	axb	Abipon
en	axe	Ayerrerenge
en	axg	Mato Grosso Arára
en	axk	Yaka (Central African Republic)
en	axl	Lower Southern Aranda
en	axm	Middle Armenian
en	axx	Xârâgurè
en	aya	Awar
en	ayb	Ayizo Gbe
en	ayc	Southern Aymara
en	ayd	Ayabadhu
en	aye	Ayere
en	ayg	Ginyanga
en	ayh	Hadrami Arabic
en	ayi	Leyigha
en	ayk	Akuku
en	ayl	Libyan Arabic
en	ay	Aymara
en	ayn	Sanaani Arabic
en	ayo	Ayoreo
en	ayp	North Mesopotamian Arabic
en	ayq	Ayi (Papua New Guinea)
en	ayr	Central Aymara
en	ays	Sorsogon Ayta
en	ayt	Magbukun Ayta
en	ayu	Ayu
en	ayy	Tayabas Ayta
en	ayz	Mai Brat
en	aza	Azha
en	azb	South Azerbaijani
en	azd	Eastern Durango Nahuatl
en	az	Azerbaijani
en	azg	San Pedro Amuzgos Amuzgo
en	azj	North Azerbaijani
en	azm	Ipalapa Amuzgo
en	azn	Western Durango Nahuatl
en	azo	Awing
en	azt	Faire Atta
en	azz	Highland Puebla Nahuatl
en	baa	Babatana
en	bab	Bainouk-Gunyuño
en	bac	Badui
en	bae	Baré
en	baf	Nubaca
en	bag	Tuki
en	bah	Bahamas Creole English
en	baj	Barakai
en	ba	Bashkir
en	bal	Baluchi
en	bm	Bambara
en	ban	Balinese
en	bao	Waimaha
en	bap	Bantawa
en	bar	Bavarian
en	bas	Basa (Cameroon)
en	bau	Bada (Nigeria)
en	bav	Vengo
en	baw	Bambili-Bambui
en	bax	Bamun
en	bay	Batuley
en	bba	Baatonum
en	bbb	Barai
en	bbc	Batak Toba
en	bbd	Bau
en	bbe	Bangba
en	bbf	Baibai
en	bbg	Barama
en	bbh	Bugan
en	bbi	Barombi
en	bbj	Ghomálá'
en	bbk	Babanki
en	bbl	Bats
en	bbm	Babango
en	bbn	Uneapa
en	bbo	Northern Bobo Madaré
en	bbp	West Central Banda
en	bbq	Bamali
en	bbr	Girawa
en	bbs	Bakpinka
en	bbt	Mburku
en	bbu	Kulung (Nigeria)
en	bbv	Karnai
en	bbw	Baba
en	bbx	Bubia
en	bby	Befang
en	bbz	Babalia Creole Arabic
en	bca	Central Bai
en	bcb	Bainouk-Samik
en	bcc	Southern Balochi
en	bcd	North Babar
en	bce	Bamenyam
en	bcf	Bamu
en	bcg	Baga Pokur
en	bch	Bariai
en	bci	Baoulé
en	bcj	Bardi
en	bck	Bunaba
en	bcl	Central Bikol
en	bcm	Bannoni
en	bcn	Bali (Nigeria)
en	bco	Kaluli
en	bcp	Bali (Democratic Republic of Congo)
en	bcq	Bench
en	bcr	Babine
en	bcs	Kohumono
en	bct	Bendi
en	bcu	Awad Bing
en	bcv	Shoo-Minda-Nye
en	bcw	Bana
en	bcy	Bacama
en	bcz	Bainouk-Gunyaamolo
en	bda	Bayot
en	bdb	Basap
en	bdc	Emberá-Baudó
en	bdd	Bunama
en	bde	Bade
en	bdf	Biage
en	bdg	Bonggi
en	bdh	Baka (Sudan)
en	bdi	Burun
en	bdj	Bai
en	bdk	Budukh
en	bdl	Indonesian Bajau
en	bdm	Buduma
en	bdn	Baldemu
en	bdo	Morom
en	bdp	Bende
en	bdq	Bahnar
en	bdr	West Coast Bajau
en	bds	Burunge
en	bdt	Bokoto
en	bdu	Oroko
en	bdv	Bodo Parja
en	bdw	Baham
en	bdx	Budong-Budong
en	bdy	Bandjalang
en	bdz	Badeshi
en	bea	Beaver
en	beb	Bebele
en	bec	Iceve-Maci
en	bed	Bedoanas
en	bee	Byangsi
en	bef	Benabena
en	beg	Belait
en	beh	Biali
en	bei	Bekati'
en	bej	Beja
en	bek	Bebeli
en	be	Belarusian
en	bem	Bemba (Zambia)
en	bn	Bengali
en	beo	Beami
en	bep	Besoa
en	beq	Beembe
en	bes	Besme
en	bet	Guiberoua Béte
en	beu	Blagar
en	bev	Daloa Bété
en	bew	Betawi
en	bex	Jur Modo
en	bey	Beli (Papua New Guinea)
en	bez	Bena (Tanzania)
en	bfa	Bari
en	bfb	Pauri Bareli
en	bfc	Panyi Bai
en	bfd	Bafut
en	bfe	Betaf
en	bff	Bofi
en	bfg	Busang Kayan
en	bfh	Blafe
en	bfi	British Sign Language
en	bfj	Bafanji
en	bfk	Ban Khor Sign Language
en	bfl	Banda-Ndélé
en	bfm	Mmen
en	bfn	Bunak
en	bfo	Malba Birifor
en	bfp	Beba
en	bfq	Badaga
en	bfr	Bazigar
en	bfs	Southern Bai
en	bft	Balti
en	bfu	Gahri
en	bfw	Bondo
en	bfx	Bantayanon
en	bfy	Bagheli
en	bfz	Mahasu Pahari
en	bga	Gwamhi-Wuri
en	bgb	Bobongko
